,cell_line,compound,concentration,well_tech,replicate,TimePoint,siRNA,obj_cell_count,AnVPos_0,AnVPos_0.1,PIPos_0,PIPos_0.1,REP_si_conc
40,HepG2,DMSO,0.2,1,R1,7,siNFE2L2,570,0.149116065,0.147578786,0.043043812,0.043043812,R1_siNFE2L2_0.2
41,HepG2,DMSO,0.2,1,R1,7,mock,541,0.123925501,0.122492837,0.055873926,0.055157593,R1_mock_0.2
42,HepG2,DMSO,0.2,1,R1,7,siKinasePool,520,0.149679259,0.148253742,0.059871703,0.059871703,R1_siKinasePool_0.2
43,HepG2,DMSO,0.2,1,R1,8,siGCLC,331,0.257623554,0.256572029,0.065194532,0.065194532,R1_siGCLC_0.2
44,HepG2,DMSO,0.2,1,R1,8,siGCLM,421,0.224137931,0.223180077,0.081417625,0.08045977,R1_siGCLM_0.2
45,HepG2,DMSO,0.2,1,R1,8,siKEAP1,441,0.223439211,0.221248631,0.111719606,0.110624315,R1_siKEAP1_0.2
46,HepG2,DMSO,0.2,1,R1,8,siNFE2L2,593,0.153502235,0.153502235,0.040983607,0.04023845,R1_siNFE2L2_0.2
47,HepG2,DMSO,0.2,1,R1,8,mock,548,0.141151685,0.140449438,0.051966292,0.051966292,R1_mock_0.2
48,HepG2,DMSO,0.2,1,R1,8,siKinasePool,548,0.166204986,0.164127424,0.057479224,0.057479224,R1_siKinasePool_0.2
49,HepG2,DMSO,0.2,1,R1,9,siGCLC,343,0.277033986,0.274974253,0.057672503,0.057672503,R1_siGCLC_0.2
50,HepG2,DMSO,0.2,1,R1,9,siGCLM,435,0.22859745,0.225865209,0.072859745,0.072859745,R1_siGCLM_0.2
51,HepG2,DMSO,0.2,1,R1,9,siKEAP1,446,0.255434783,0.25326087,0.111956522,0.111956522,R1_siKEAP1_0.2
52,HepG2,DMSO,0.2,1,R1,9,siNFE2L2,618,0.172786177,0.172066235,0.039596832,0.039596832,R1_siNFE2L2_0.2
53,HepG2,DMSO,0.2,1,R1,9,mock,562,0.140912185,0.139550715,0.05105514,0.050374404,R1_mock_0.2
54,HepG2,DMSO,0.2,1,R1,9,siKinasePool,565,0.175216522,0.17188541,0.055962692,0.055962692,R1_siKinasePool_0.2
55,HepG2,DMSO,0.2,1,R1,10,siGCLC,351,0.31211499,0.309034908,0.065708419,0.065708419,R1_siGCLC_0.2
56,HepG2,DMSO,0.2,1,R1,10,siGCLM,451,0.234305924,0.233421751,0.069849691,0.069849691,R1_siGCLM_0.2
57,HepG2,DMSO,0.2,1,R1,10,siKEAP1,457,0.255252101,0.254201681,0.100840336,0.100840336,R1_siKEAP1_0.2
58,HepG2,DMSO,0.2,1,R1,10,siNFE2L2,628,0.18149965,0.180098108,0.040644709,0.040644709,R1_siNFE2L2_0.2
59,HepG2,DMSO,0.2,1,R1,10,mock,581,0.151232512,0.149233844,0.051965356,0.051965356,R1_mock_0.2
60,HepG2,DMSO,0.2,1,R1,10,siKinasePool,567,0.177588467,0.174967235,0.053735256,0.053079948,R1_siKinasePool_0.2
61,HepG2,DMSO,0.2,1,R1,11,siGCLC,353,0.32326284,0.319234642,0.057401813,0.055387714,R1_siGCLC_0.2
62,HepG2,DMSO,0.2,1,R1,11,siGCLM,462,0.269527897,0.267811159,0.070386266,0.070386266,R1_siGCLM_0.2
63,HepG2,DMSO,0.2,1,R1,11,siKEAP1,480,0.247464503,0.246450304,0.10040568,0.10040568,R1_siKEAP1_0.2
64,HepG2,DMSO,0.2,1,R1,11,siNFE2L2,645,0.194234729,0.190116678,0.041180508,0.041180508,R1_siNFE2L2_0.2
65,HepG2,DMSO,0.2,1,R1,11,mock,607,0.15503876,0.153100775,0.047803618,0.047803618,R1_mock_0.2
66,HepG2,DMSO,0.2,1,R1,11,siKinasePool,596,0.198101266,0.19556962,0.049367089,0.049367089,R1_siKinasePool_0.2
67,HepG2,DMSO,0.2,1,R1,12,siGCLC,363,0.320930233,0.318139535,0.056744186,0.056744186,R1_siGCLC_0.2
68,HepG2,DMSO,0.2,1,R1,12,siGCLM,467,0.265508685,0.263854425,0.071960298,0.071960298,R1_siGCLM_0.2
69,HepG2,DMSO,0.2,1,R1,12,siKEAP1,483,0.262737263,0.262737263,0.098901099,0.097902098,R1_siKEAP1_0.2
70,HepG2,DMSO,0.2,1,R1,12,siNFE2L2,658,0.197192513,0.196524064,0.036096257,0.036096257,R1_siNFE2L2_0.2
71,HepG2,DMSO,0.2,1,R1,12,mock,606,0.150979154,0.150347442,0.047378395,0.047378395,R1_mock_0.2
72,HepG2,DMSO,0.2,1,R1,12,siKinasePool,613,0.203153426,0.20194057,0.046088539,0.046088539,R1_siKinasePool_0.2
73,HepG2,DMSO,0.2,1,R1,13,siGCLC,373,0.344095941,0.337638376,0.052583026,0.052583026,R1_siGCLC_0.2
74,HepG2,DMSO,0.2,1,R1,13,siGCLM,482,0.282958199,0.280546624,0.062700965,0.061897106,R1_siGCLM_0.2
75,HepG2,DMSO,0.2,1,R1,13,siKEAP1,501,0.267891683,0.261121857,0.090909091,0.089941973,R1_siKEAP1_0.2
76,HepG2,DMSO,0.2,1,R1,13,siNFE2L2,682,0.196930946,0.195012788,0.030690537,0.030051151,R1_siNFE2L2_0.2
77,HepG2,DMSO,0.2,1,R1,13,mock,625,0.17436209,0.171931956,0.046172539,0.045565006,R1_mock_0.2
78,HepG2,DMSO,0.2,1,R1,13,siKinasePool,625,0.216918429,0.21510574,0.047129909,0.04652568,R1_siKinasePool_0.2
79,HepG2,DMSO,0.2,1,R1,14,siGCLC,402,0.367221735,0.363716039,0.051709027,0.051709027,R1_siGCLC_0.2
80,HepG2,DMSO,0.2,1,R1,14,siGCLM,487,0.281347962,0.277429467,0.053291536,0.053291536,R1_siGCLM_0.2
81,HepG2,DMSO,0.2,1,R1,14,siKEAP1,499,0.283783784,0.283783784,0.081081081,0.081081081,R1_siKEAP1_0.2
82,HepG2,DMSO,0.2,1,R1,14,siNFE2L2,703,0.229036295,0.228410513,0.033166458,0.031289111,R1_siNFE2L2_0.2
83,HepG2,DMSO,0.2,1,R1,14,mock,641,0.18607443,0.184273709,0.042617047,0.042617047,R1_mock_0.2
84,HepG2,DMSO,0.2,1,R1,14,siKinasePool,642,0.231615518,0.229878402,0.038216561,0.037637522,R1_siKinasePool_0.2
85,HepG2,DMSO,0.2,1,R1,15,siGCLC,427,0.35768904,0.355989805,0.048428207,0.048428207,R1_siGCLC_0.2
86,HepG2,DMSO,0.2,1,R1,15,siGCLM,503,0.285388128,0.281582953,0.051750381,0.050989346,R1_siGCLM_0.2
