,compound,concentration,replicate,TimePoint,siRNA,StateVar,data4modelReal
80,DMSO,0.2,R2,5,siKinasePool,Live_cells,0.920681022
81,DMSO,0.2,R2,5,siKinasePool,Total_cells,1.053868195
82,DMSO,0.2,R2,6,siKinasePool,Apop_cells,0.159469365
83,DMSO,0.2,R2,6,siKinasePool,Live_cells,0.918467598
84,DMSO,0.2,R2,6,siKinasePool,Total_cells,1.077936963
85,DMSO,0.2,R2,7,siKinasePool,Apop_cells,0.166514773
86,DMSO,0.2,R2,7,siKinasePool,Live_cells,0.953829067
87,DMSO,0.2,R2,7,siKinasePool,Total_cells,1.12034384
88,DMSO,0.2,R2,8,siKinasePool,Apop_cells,0.190714557
89,DMSO,0.2,R2,8,siKinasePool,Live_cells,0.970890028
90,DMSO,0.2,R2,8,siKinasePool,Total_cells,1.161604585
91,DMSO,0.2,R2,9,siKinasePool,Apop_cells,0.210724631
92,DMSO,0.2,R2,9,siKinasePool,Live_cells,0.986410039
93,DMSO,0.2,R2,9,siKinasePool,Total_cells,1.19713467
94,DMSO,0.2,R2,10,siKinasePool,Apop_cells,0.234936814
95,DMSO,0.2,R2,10,siKinasePool,Live_cells,1.018358315
96,DMSO,0.2,R2,10,siKinasePool,Total_cells,1.253295129
97,DMSO,0.2,R2,11,siKinasePool,Apop_cells,0.253137253
98,DMSO,0.2,R2,11,siKinasePool,Live_cells,1.019642116
99,DMSO,0.2,R2,11,siKinasePool,Total_cells,1.27277937
100,DMSO,0.2,R2,12,siKinasePool,Apop_cells,0.272072255
101,DMSO,0.2,R2,12,siKinasePool,Live_cells,1.05457531
102,DMSO,0.2,R2,12,siKinasePool,Total_cells,1.326647564
103,DMSO,0.2,R2,13,siKinasePool,Apop_cells,0.296481272
104,DMSO,0.2,R2,13,siKinasePool,Live_cells,1.07257317
105,DMSO,0.2,R2,13,siKinasePool,Total_cells,1.369054441
106,DMSO,0.2,R2,14,siKinasePool,Apop_cells,0.303770506
107,DMSO,0.2,R2,14,siKinasePool,Live_cells,1.081902847
108,DMSO,0.2,R2,14,siKinasePool,Total_cells,1.385673352
109,DMSO,0.2,R2,15,siKinasePool,Apop_cells,0.319889901
110,DMSO,0.2,R2,15,siKinasePool,Live_cells,1.09959434
111,DMSO,0.2,R2,15,siKinasePool,Total_cells,1.419484241
112,DMSO,0.2,R2,16,siKinasePool,Apop_cells,0.346341449
113,DMSO,0.2,R2,16,siKinasePool,Live_cells,1.116122734
114,DMSO,0.2,R2,16,siKinasePool,Total_cells,1.462464183
115,DMSO,0.2,R2,17,siKinasePool,Apop_cells,0.361195817
116,DMSO,0.2,R2,17,siKinasePool,Live_cells,1.132213925
117,DMSO,0.2,R2,17,siKinasePool,Total_cells,1.493409742
118,DMSO,0.2,R2,18,siKinasePool,Apop_cells,0.397950143
119,DMSO,0.2,R2,18,siKinasePool,Live_cells,1.137866476
120,DMSO,0.2,R2,18,siKinasePool,Total_cells,1.535816619
121,DMSO,0.2,R2,19,siKinasePool,Apop_cells,0.419765935
122,DMSO,0.2,R2,19,siKinasePool,Live_cells,1.172211142
123,DMSO,0.2,R2,19,siKinasePool,Total_cells,1.591977077
124,DMSO,0.2,R2,20,siKinasePool,Apop_cells,0.418428666
125,DMSO,0.2,R2,20,siKinasePool,Live_cells,1.186155861
126,DMSO,0.2,R2,20,siKinasePool,Total_cells,1.604584527
127,DMSO,0.2,R3,0,siKinasePool,Apop_cells,NA
128,DMSO,0.2,R3,0,siKinasePool,Live_cells,NA
129,DMSO,0.2,R3,0,siKinasePool,Total_cells,1
130,DMSO,0.2,R3,1,siKinasePool,Apop_cells,0.120415962
131,DMSO,0.2,R3,1,siKinasePool,Live_cells,0.879584038
132,DMSO,0.2,R3,1,siKinasePool,Total_cells,1
133,DMSO,0.2,R3,2,siKinasePool,Apop_cells,0.124236101
134,DMSO,0.2,R3,2,siKinasePool,Live_cells,0.888888583
135,DMSO,0.2,R3,2,siKinasePool,Total_cells,1.013124685
136,DMSO,0.2,R3,3,siKinasePool,Apop_cells,0.136754069
137,DMSO,0.2,R3,3,siKinasePool,Live_cells,0.885961731
138,DMSO,0.2,R3,3,siKinasePool,Total_cells,1.0227158
139,DMSO,0.2,R3,4,siKinasePool,Apop_cells,0.146981509
140,DMSO,0.2,R3,4,siKinasePool,Live_cells,0.900974069
141,DMSO,0.2,R3,4,siKinasePool,Total_cells,1.047955578
142,DMSO,0.2,R3,5,siKinasePool,Apop_cells,0.160361858
143,DMSO,0.2,R3,5,siKinasePool,Live_cells,0.917376658
144,DMSO,0.2,R3,5,siKinasePool,Total_cells,1.077738516
145,DMSO,0.2,R3,6,siKinasePool,Apop_cells,0.173005406
146,DMSO,0.2,R3,6,siKinasePool,Live_cells,0.950669506
147,DMSO,0.2,R3,6,siKinasePool,Total_cells,1.123674912
148,DMSO,0.2,R3,7,siKinasePool,Apop_cells,0.200572506
149,DMSO,0.2,R3,7,siKinasePool,Live_cells,0.944303819
150,DMSO,0.2,R3,7,siKinasePool,Total_cells,1.144876325
151,DMSO,0.2,R3,8,siKinasePool,Apop_cells,0.212235361
152,DMSO,0.2,R3,8,siKinasePool,Live_cells,0.973024609
153,DMSO,0.2,R3,8,siKinasePool,Total_cells,1.18525997
154,DMSO,0.2,R3,9,siKinasePool,Apop_cells,0.234909083
155,DMSO,0.2,R3,9,siKinasePool,Live_cells,1.004868807
156,DMSO,0.2,R3,9,siKinasePool,Total_cells,1.23977789
157,DMSO,0.2,R3,10,siKinasePool,Apop_cells,0.252183049
158,DMSO,0.2,R3,10,siKinasePool,Live_cells,1.034540828
159,DMSO,0.2,R3,10,siKinasePool,Total_cells,1.286723877
160,DMSO,0.2,R3,11,siKinasePool,Apop_cells,0.277158929
161,DMSO,0.2,R3,11,siKinasePool,Live_cells,1.042881455
162,DMSO,0.2,R3,11,siKinasePool,Total_cells,1.320040384
163,DMSO,0.2,R3,12,siKinasePool,Apop_cells,0.289231726
164,DMSO,0.2,R3,12,siKinasePool,Live_cells,1.060591596
165,DMSO,0.2,R3,12,siKinasePool,Total_cells,1.349823322
166,DMSO,0.2,R3,13,siKinasePool,Apop_cells,0.306236622
167,DMSO,0.2,R3,13,siKinasePool,Live_cells,1.071350455
168,DMSO,0.2,R3,13,siKinasePool,Total_cells,1.377587077
169,DMSO,0.2,R3,14,siKinasePool,Apop_cells,0.320490752
170,DMSO,0.2,R3,14,siKinasePool,Live_cells,1.098994356
171,DMSO,0.2,R3,14,siKinasePool,Total_cells,1.419485109
172,DMSO,0.2,R3,15,siKinasePool,Apop_cells,0.339038885
173,DMSO,0.2,R3,15,siKinasePool,Live_cells,1.10467641
174,DMSO,0.2,R3,15,siKinasePool,Total_cells,1.443715295
175,DMSO,0.2,R3,16,siKinasePool,Apop_cells,0.350051108
176,DMSO,0.2,R3,16,siKinasePool,Live_cells,1.123951921
177,DMSO,0.2,R3,16,siKinasePool,Total_cells,1.474003029
178,DMSO,0.2,R3,17,siKinasePool,Apop_cells,0.371979075
179,DMSO,0.2,R3,17,siKinasePool,Live_cells,1.146445963
180,DMSO,0.2,R3,17,siKinasePool,Total_cells,1.518425038
181,DMSO,0.2,R3,18,siKinasePool,Apop_cells,0.404856266
182,DMSO,0.2,R3,18,siKinasePool,Live_cells,1.157485985
183,DMSO,0.2,R3,18,siKinasePool,Total_cells,1.562342251
184,DMSO,0.2,R3,19,siKinasePool,Apop_cells,0.415174219
185,DMSO,0.2,R3,19,siKinasePool,Live_cells,1.161302308
186,DMSO,0.2,R3,19,siKinasePool,Total_cells,1.576476527
187,DMSO,0.2,R3,20,siKinasePool,Apop_cells,0.437239199
188,DMSO,0.2,R3,20,siKinasePool,Live_cells,1.187192906
189,DMSO,0.2,R3,20,siKinasePool,Total_cells,1.624432105
190,DMSO,0.2,R4,0,siKinasePool,Apop_cells,NA
191,DMSO,0.2,R4,0,siKinasePool,Live_cells,NA
192,DMSO,0.2,R4,0,siKinasePool,Total_cells,1
193,DMSO,0.2,R4,1,siKinasePool,Apop_cells,0.111048262
194,DMSO,0.2,R4,1,siKinasePool,Live_cells,0.888951739
195,DMSO,0.2,R4,1,siKinasePool,Total_cells,1
196,DMSO,0.2,R4,2,siKinasePool,Apop_cells,0.117662707
197,DMSO,0.2,R4,2,siKinasePool,Live_cells,0.888747549
198,DMSO,0.2,R4,2,siKinasePool,Total_cells,1.006410256
199,DMSO,0.2,R4,3,siKinasePool,Apop_cells,0.127813139
200,DMSO,0.2,R4,3,siKinasePool,Live_cells,0.906703626
201,DMSO,0.2,R4,3,siKinasePool,Total_cells,1.034516765
202,DMSO,0.2,R4,4,siKinasePool,Apop_cells,0.143305631
203,DMSO,0.2,R4,4,siKinasePool,Live_cells,0.907483324
204,DMSO,0.2,R4,4,siKinasePool,Total_cells,1.050788955
205,DMSO,0.2,R4,5,siKinasePool,Apop_cells,0.160354876
206,DMSO,0.2,R4,5,siKinasePool,Live_cells,0.927909423
207,DMSO,0.2,R4,5,siKinasePool,Total_cells,1.0882643
208,DMSO,0.2,R4,6,siKinasePool,Apop_cells,0.177713559
209,DMSO,0.2,R4,6,siKinasePool,Live_cells,0.935698669
210,DMSO,0.2,R4,6,siKinasePool,Total_cells,1.113412229
211,DMSO,0.2,R4,7,siKinasePool,Apop_cells,0.188897824
212,DMSO,0.2,R4,7,siKinasePool,Live_cells,0.952620914
213,DMSO,0.2,R4,7,siKinasePool,Total_cells,1.141518738
214,DMSO,0.2,R4,8,siKinasePool,Apop_cells,0.211565841
215,DMSO,0.2,R4,8,siKinasePool,Live_cells,0.978769465
216,DMSO,0.2,R4,8,siKinasePool,Total_cells,1.190335306
217,DMSO,0.2,R4,9,siKinasePool,Apop_cells,0.233400254
218,DMSO,0.2,R4,9,siKinasePool,Live_cells,0.966303888
219,DMSO,0.2,R4,9,siKinasePool,Total_cells,1.199704142
